feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0,)",[0.67390599 0.69510912 0.68886235],0.6859591539425928,"('monthly_charges',)",0.020019467560195556,0.008896238873883498,0.006290590834778397
"(0, 1)",[0.78129018 0.80480876 0.82362866],0.8032425342173357,"('monthly_charges', 'total_charges')",0.03897582590620118,0.01732005391881039,0.012247127576507463
"(0, 1, 8)",[0.80179055 0.81311592 0.83028591],0.8150641243163993,"('monthly_charges', 'total_charges', 'cat_internet_service_DSL')",0.026361405858904598,0.01171446557542295,0.00828337804635794
"(0, 1, 8, 17)",[0.80613585 0.81900133 0.83412515],0.8197541089404902,"('monthly_charges', 'total_charges', 'cat_internet_service_DSL', 'cat_tech_support_Yes')",0.02574146268840339,0.01143897560465184,0.008088577219876804
"(0, 1, 8, 13, 17)",[0.81025915 0.82135378 0.83769389],0.8231022722482596,"('monthly_charges', 'total_charges', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes')",0.025357206030111344,0.011268219863483024,0.0079678346773698
"(0, 1, 2, 8, 13, 17)",[0.81030099 0.82360444 0.8395797 ],0.8244950400545662,"('monthly_charges', 'total_charges', 'cat_paperless_billing_No', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes')",0.02693545415450411,0.01196956080947167,0.008463757616202161
"(0, 1, 2, 6, 8, 13, 17)",[0.81246382 0.83092784 0.83999486],0.8277955078716791,"('monthly_charges', 'total_charges', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes')",0.02577901112168332,0.011455661354699585,0.008100375826884748
"(0, 1, 2, 6, 8, 13, 17, 20)",[0.81370362 0.83310921 0.83941277],0.8287418683484792,"('monthly_charges', 'total_charges', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes', 'cat_streaming_movies_No')",0.024619968167768316,0.010940606548565735,0.007736177080784779
"(0, 1, 2, 6, 8, 13, 17, 19, 20)",[0.81424839 0.83392444 0.84100668],0.8297265020536514,"('monthly_charges', 'total_charges', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes', 'cat_streaming_tv_Yes', 'cat_streaming_movies_No')",0.025474054413376603,0.011320144877294163,0.008004551206748861
"(0, 1, 2, 6, 8, 13, 17, 19, 20, 22)",[0.81876105 0.8329424  0.84214432],0.8312825898911246,"('monthly_charges', 'total_charges', 'cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_online_backup_Yes', 'cat_tech_support_Yes', 'cat_streaming_tv_Yes', 'cat_streaming_movies_No', 'cat_gender_Female')",0.021643804812595268,0.009618060878671834,0.0068009960691738985
